CC_Utilization,Transaction_to_Balance_Ratio,Loan_to_Balance_Ratio,Age,Account_Age_Years,Account Balance,Credit Limit,Credit Card Balance,Loan Amount,Transaction Amount,Transaction Type,Interest Rate,Rewards Points,Days_Since_Last_Transaction,Account Balance After Transaction,Anomaly,KMeans_Cluster,DBSCAN_Cluster,Hierarchical_Cluster,KMeans_Segment
2.603355812829424,1.1098158948666796,24.516941022400218,45,17.6,1313.38,1737.88,4524.32,32200.06,1457.61,Withdrawal,2.64,8142,252,2770.99,1,0,-1,2,Credit-Stressed / Over-Limit
0.4761137293259826,0.277365132271068,7.972587276194547,47,17.8,5988.46,1799.36,856.7,47743.52,1660.99,Deposit,2.48,4306,338,7649.45,1,2,0,0,Mainstream / Balanced
0.5304075276134639,0.1014643846008881,5.796328286952698,25,8.5,8277.88,6112.96,3242.36,47981.31,839.91,Deposit,7.84,4842,364,7437.97,1,2,0,0,Mainstream / Balanced
2.091982739041563,0.6556367458639467,0.5987276969658926,52,15.9,7487.21,2069.41,4329.17,4482.8,4908.89,Withdrawal,7.21,9463,151,12396.1,1,0,0,2,Credit-Stressed / Over-Limit
0.0093009800021697,0.084230469504043,0.156191061764054,68,2.6,6993.55,2765.3,25.72,1092.33,589.07,Transfer,5.37,2209,279,6404.48,1,2,0,0,Mainstream / Balanced
0.1658575346423918,0.5287070067257338,5.167932493082779,52,8.0,9295.64,8029.18,1331.7,48039.24,4914.67,Withdrawal,1.45,478,210,4380.97,1,2,0,0,Mainstream / Balanced
0.48105992351893,0.8824630777987479,6.797906493713989,43,1.5,4005.72,2996.82,1441.65,27230.51,3534.9,Deposit,5.25,5745,285,470.82,1,2,0,0,Mainstream / Balanced
0.7717243970850725,0.3118859062703555,24.217237478144604,47,1.0,1458.45,4470.78,3450.21,35319.63,454.87,Deposit,8.51,5559,305,1003.58,1,2,0,0,Mainstream / Balanced
0.7419538023298855,0.6928333183088434,41.21271071847111,52,11.7,1109.3,4349.57,3227.18,45717.26,768.56,Withdrawal,1.1,4432,56,340.74,-1,2,0,0,Mainstream / Balanced
0.557374471927505,0.1718111238332869,2.326055876633503,55,2.0,9554.62,4961.44,2765.38,22224.58,1641.59,Deposit,1.92,8226,329,11196.21,1,2,0,0,Mainstream / Balanced
0.9543868233247392,0.2207359946043924,3.809300678666273,28,8.4,5930.75,4782.39,4564.25,22592.01,1309.13,Withdrawal,8.28,4624,74,7239.88,1,2,0,2,Mainstream / Balanced
0.8662105449764887,0.5987449011609663,1.1298473578323704,37,18.3,8126.85,5697.31,4935.07,9182.1,4865.91,Deposit,5.73,3488,76,12992.76,1,2,0,2,Mainstream / Balanced
0.0587863617164184,0.5684111928086426,8.401564964346802,63,13.1,5402.04,5776.68,339.59,45385.59,3070.58,Deposit,6.96,2102,40,8472.62,1,2,0,0,Mainstream / Balanced
1.443766026384315,0.0942401775980262,8.092771730666067,48,9.4,4045.09,3018.46,4357.95,32735.99,381.21,Transfer,7.71,4833,2,4426.3,1,0,0,2,Credit-Stressed / Over-Limit
0.4546640351587643,1.2636519467798546,4.721434504746311,51,8.3,2082.67,2345.93,1066.61,9833.19,2631.77,Withdrawal,3.7,4769,190,-549.1,1,2,0,0,Mainstream / Balanced
0.2883318992929558,0.5230239997015773,3.3141002326763376,29,7.2,8578.44,2673.1,770.74,28429.81,4486.73,Transfer,3.68,7000,11,13065.17,1,2,0,0,Mainstream / Balanced
1.3756067661915865,2.863268386388584,23.435826015367727,65,17.5,728.8,2838.82,3905.1,17080.03,2086.75,Transfer,3.38,2437,13,2815.55,1,0,-1,2,Credit-Stressed / Over-Limit
0.377305253671777,0.3699373412587893,0.9111892511464876,45,4.4,9012.31,8388.99,3165.21,8211.92,3333.99,Deposit,2.51,5109,276,5678.32,1,2,0,0,Mainstream / Balanced
0.0319092289518923,1.8163859449763573,4.654141799279687,20,18.4,2129.63,9371.27,299.03,9911.6,3868.23,Withdrawal,3.74,8681,306,-1738.6,1,2,0,0,Mainstream / Balanced
0.1407012187151991,4.801862523152912,146.13912327639432,65,6.7,194.36,7650.68,1076.46,28403.6,933.29,Deposit,9.58,3441,304,-738.93,1,1,-1,1,Liquidity-Stressed / High-Leverage
2.5904893578315447,3.7914458877527513,25.39020716298357,59,7.2,1128.58,1374.25,3559.98,28654.88,4278.95,Withdrawal,1.77,1213,123,-3150.37,1,0,-1,2,Credit-Stressed / Over-Limit
0.008366198680799,0.2542880202198776,4.488331294917676,69,19.0,8846.74,6394.78,53.5,39707.1,2249.62,Transfer,3.17,4035,82,11096.36,-1,2,0,0,Mainstream / Balanced
0.1775241256101481,0.3529950584548632,15.850584548632034,22,12.3,829.7,8026.74,1424.94,13151.23,292.88,Deposit,3.86,1533,140,536.82,1,2,0,0,Mainstream / Balanced
0.3962888806926954,1.2153375284775827,12.683815885514583,30,9.2,3616.88,5693.7,2256.35,45875.84,4395.73,Deposit,2.38,6245,143,8012.61,1,2,0,0,Mainstream / Balanced
2.652835673381588,1.0961898740560017,10.24464631341321,29,19.6,2578.13,1720.05,4563.01,26412.03,2826.12,Transfer,1.7,6588,275,5404.25,1,0,0,2,Credit-Stressed / Over-Limit
0.758145589087505,2.150389364539861,23.67263262057393,18,1.2,464.86,5608.25,4251.87,11004.46,999.63,Transfer,2.46,5749,350,1464.49,1,2,0,0,Mainstream / Balanced
0.161004481748639,0.2973186708246915,3.963568167236157,69,17.4,5361.52,6736.21,1084.56,21250.75,1594.08,Withdrawal,5.75,1470,0,3767.44,1,2,0,0,Mainstream / Balanced
0.2498175852697045,0.2855882205639305,4.632102969900336,60,5.4,9983.5,6126.15,1530.42,46244.6,2851.17,Deposit,6.37,2965,180,12834.67,1,2,0,0,Mainstream / Balanced
0.345835568257933,0.2196817468463165,2.8590201959795287,36,23.1,8544.77,7494.66,2591.92,24429.67,1877.13,Transfer,2.94,2963,161,6667.64,1,2,0,0,Mainstream / Balanced
0.6406012740948728,0.6628405679330037,24.7517211801088,46,8.9,1772.04,3404.77,2181.1,43861.04,1174.58,Withdrawal,5.53,8656,324,597.46,1,2,0,0,Mainstream / Balanced
0.5285015313209755,0.2712403427320766,0.9974104235815208,64,19.3,8854.73,7278.03,3846.45,8831.8,2401.76,Withdrawal,1.06,3298,194,11256.49,1,2,0,0,Mainstream / Balanced
1.1898601809717035,0.2041174257997358,10.012325160297063,67,13.7,4572.76,3997.31,4756.24,45783.96,933.38,Transfer,6.42,6208,97,5506.14,1,0,0,2,Credit-Stressed / Over-Limit
0.4190023823423535,0.4400573225247578,7.878396395240235,65,20.4,2805.18,7417.07,3107.77,22100.32,1234.44,Deposit,1.01,2387,169,1570.74,1,2,0,0,Mainstream / Balanced
0.1039128073878725,0.6422395919882342,7.279080855346225,56,18.4,6439.03,5395.87,560.7,46870.22,4135.4,Transfer,6.78,4561,115,10574.43,1,2,0,0,Mainstream / Balanced
0.274436501386997,0.5123726216774745,19.34629533955676,59,22.0,2245.28,8046.16,2208.16,43437.85,1150.42,Transfer,5.35,2971,170,3395.7,1,2,0,0,Mainstream / Balanced
0.4953915965899625,0.3950570752280455,3.784771613943271,42,14.5,8808.55,5522.52,2735.81,33338.35,3479.88,Withdrawal,1.98,6543,135,12288.43,1,2,0,0,Mainstream / Balanced
1.330656710595971,0.2006299944899369,5.409650891324358,33,15.4,6279.42,3589.1,4775.86,33969.47,1259.84,Withdrawal,1.8,443,269,5019.58,1,0,0,2,Credit-Stressed / Over-Limit
0.1741597018194223,0.7395653316005585,7.855476904784947,34,21.6,1446.62,9908.09,1725.59,11363.89,1069.87,Withdrawal,1.06,440,147,2516.49,1,2,0,0,Mainstream / Balanced
1.0530272528246811,0.2197212936261396,5.311607083844979,45,15.5,5749.42,3179.12,3347.7,30538.66,1263.27,Transfer,5.96,9290,361,4486.15,1,2,0,2,Mainstream / Balanced
0.0121939614153473,0.4554551329698971,5.419574705929159,56,4.0,5152.67,4623.6,56.38,27925.28,2346.81,Withdrawal,8.26,526,360,2805.86,1,2,0,0,Mainstream / Balanced
0.2737316639901514,0.1552079640727355,3.6441589877942113,60,5.4,4767.41,7976.79,2183.5,17373.2,739.94,Transfer,8.71,1841,319,4027.47,1,2,0,0,Mainstream / Balanced
0.0357581357222733,0.1459633852733177,6.94146114196151,66,8.2,3713.26,5660.53,202.41,25775.45,542.0,Transfer,6.12,6292,34,3171.26,1,2,0,0,Mainstream / Balanced
0.1658022896779817,0.789662601702321,9.704196152779256,22,17.5,4794.63,7147.73,1185.11,46528.03,3786.14,Withdrawal,8.98,2095,239,1008.49,1,2,0,0,Mainstream / Balanced
0.4351977387507859,0.0213979134153801,0.2135012903477245,18,13.8,5901.51,5391.71,2346.46,1259.98,126.28,Transfer,8.76,2285,228,5775.23,1,2,0,0,Mainstream / Balanced
0.4475624289792411,0.2626298160639144,2.9119926545093,20,22.7,7362.34,6494.58,2906.73,21439.08,1933.57,Withdrawal,7.28,7103,229,5428.77,1,2,0,0,Mainstream / Balanced
0.7813119961213713,0.2161985943134678,1.8883592740588029,65,18.6,9186.97,5610.23,4383.34,17348.3,1986.21,Transfer,4.27,4173,51,7200.76,1,2,0,0,Mainstream / Balanced
0.0930982820514629,8.280088987764183,89.17374860956619,41,18.1,539.4,9925.21,924.02,48100.32,4466.28,Transfer,8.44,722,6,-3926.88,1,1,1,1,Liquidity-Stressed / High-Leverage
0.5381651036998546,0.6754472667179173,8.493111665455128,46,11.5,5736.51,2867.41,1543.14,48720.82,3874.71,Withdrawal,4.53,5615,46,9611.22,1,2,0,0,Mainstream / Balanced
0.3087463485773304,0.3390902559997031,3.936273119368444,32,2.9,7544.54,9023.88,2786.09,29697.37,2558.28,Transfer,4.63,2212,176,10102.82,1,2,0,0,Mainstream / Balanced
0.2052475838067277,1.9327084622866744,22.468299584401805,21,1.8,1243.99,5180.67,1063.32,27950.34,2404.27,Transfer,7.1,2445,222,3648.26,1,2,0,0,Mainstream / Balanced
3.699241009921492,0.3104343241818403,4.960352176662652,61,2.3,9123.83,1226.63,4537.6,45257.41,2832.35,Withdrawal,9.35,61,292,6291.48,-1,0,0,2,Credit-Stressed / Over-Limit
0.4458042867680291,0.711000237586125,0.522919141522135,18,8.2,2525.4,9801.79,4369.68,1320.58,1795.56,Deposit,5.5,2757,187,4320.96,1,2,0,0,Mainstream / Balanced
0.5024582705876621,0.4199861317199183,3.4193753525453325,66,3.6,8349.99,8825.31,4434.35,28551.75,3506.88,Withdrawal,2.59,2042,15,4843.11,1,2,0,0,Mainstream / Balanced
2.1666716801328367,0.516015491736388,0.3316851696832069,32,9.6,6653.87,1662.19,3601.42,2206.99,3433.5,Deposit,2.28,4735,139,3220.37,1,0,0,2,Credit-Stressed / Over-Limit
1.1189673917926874,0.5102446843786074,8.589389858338755,41,10.9,5639.51,4451.64,4981.24,48439.95,2877.53,Transfer,3.72,8927,87,2761.98,1,2,0,2,Mainstream / Balanced
0.4709521784583603,0.034218597438401,1.9169283786112228,69,16.6,8705.5,8771.57,4130.99,16687.82,297.89,Deposit,5.12,8261,127,8407.61,1,2,0,0,Mainstream / Balanced
